"program_key","primary_school","difficulty_level","duration","program_title","generic_program_title","part_title","generic_part_title","part_summary","lesson_title","generic_lesson_title","lesson_summary","locale"
"st095","Data Science","","4 Months","Statistics","Statistics","Statistics","Statistics","","Estimation","Estimation","","en-us"
"nd081","Cloud Computing","Intermediate","4 Months","Cloud Developer using Microsoft Azure","Cloud Developer using Microsoft Azure","Azure Microservices","Azure Microservices","","Deployment","Deployment","It’s time to deploy your functions and apps to the web! From there, you’ll also learn how to containerize your app and deploy it with Kubernetes.","en-us"
"nd101","Artificial Intelligence","Intermediate","4 Months","Deep Learning","Deep Learning","Introduction to Deep Learning","Introduction to Deep Learning","This course covers foundational deep learning theory and practice. We begin with how to think about deep learning and when it is the right tool to use. The course covers the fundamental algorithms of deep learning, deep learning architecture and goals, and interweaves the theory with implementation in PyTorch.","Minimizing Error Function with Gradient Descent","Minimizing Error Function with Gradient Descent","Beginning with PyTorch and moving into both Error Functions, Gradient Descent, and Backpropagation, this lesson provides an overview of foundational neural network concepts.","en-us"
"nd230","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with TensorFlow","Intro to Machine Learning with TensorFlow","Introduction to Machine Learning","Introduction to Machine Learning","","[Optional] Setting Up Your Computer","Setting Up Your Computer","In this lesson, get your computer set up with Python 3 using Anaconda, as well as setting up a text editor.","en-us"
"cd12033","Data Science","Beginner","","Data Preparation and Modeling","Data Preparation & Modeling","Data Preparation and Modeling","Data Preparation & Modeling","The preparation phase is the most important step in data analysis. An effective data model is required before data can be effectively analyzed, and creating that data model may utilize a wide range of skills. This course teaches the skills to load, clean, and organize data in Power Query and create relational tables in Power Query and Power BI. Completing this course will provide the knowledge to effectively source data in Power BI and create a clean and efficient data model for analysis.","Relational Data & Table Structure","Relational Data & Table Structure","Relational Data & Table Structure lesson teaches the core concepts around working with data from multiple sources and tables. It explains what relational data is and how it works.","en-us"
"nd002","Data Science","Intermediate","4 Months","Data Analyst","Data Analyst","Introduction to Data Analysis with Pandas and NumPy","Introduction to Data Analysis with Pandas and NumPy","Learn the data analysis process of questioning, wrangling, exploring, analyzing, and communicating data. You will work with data in Python using libraries like NumPy and pandas.","The Data Analysis Process","The Data Analysis Process","Learn about the data analysis process and the Python packages used in this course","en-us"
"nd029","Data Science","Advanced","2 Months","Data Streaming","Data Streaming","Data Ingestion with Kafka and Kafka Streaming","Data Ingestion with Kafka & Kafka Streaming","Learn to use REST Proxy, Kafka Connect, KSQL, and Faust Python Stream Processing and use it to stream public transit statuses using Kafka and Kafka ecosystem to build a stream processing application that shows the status of trains in real-time.","Stream Processing Fundamentals","Stream Processing Fundamentals","Learn to build real-time applications that instantly process events, the concepts of stream processing state storage, windowed processing, and stateful and non-stateful stream processing.","en-us"
"cd12640","Data Science","Intermediate","","Hypothesis Testing","Experimentation","Hypothesis Testing","Experimentation","Hypothesis testing is one of the most important topics in all of statistics because it tells us whether our conclusions are statistically significant. In this course, you will learn about the fundamental role statistics plays in hypothesis testing as well as how to implement statistical concepts in Python.","A/B Tests","A/B Testing in Python","In this lesson, you'll work through a case study of how A/B testing works in the context of website metrics for an online education company.","en-us"
"nd9990","Cloud Computing","Intermediate","4 Months","Cloud Developer","Cloud Developer","AWS Cloud Fundamentals","AWS Cloud Fundamentals","The cloud has become a key enabler for innovation with beneficial features like high availability, unlimited capacity, and on-demand scalability and elasticity. Learn the fundamentals of cloud computing while being introduced to compute power, security, storage, networking, messaging, and management services in the cloud. While learning the fundamentals, you will explore tools and services offered by Amazon Web Services(AWS) through interactive, hands-on exercises. By the end of the course, you will have deployed your first website to AWS.","Servers in the Cloud and Compute Services","Foundational & Compute Service","Learn why we need servers, compute power, and security.","en-us"
"nd001-comp-literacy","Programming and Development","Beginner","","Computer Literacy Fundamentals","Computer Literacy Fundamentals","Discover Programming","DECI Level 1 Weeks 9-12","In this course, you will delve into the world of programming,  explore the power of strings in programming through Blockly, discover the art of programming mobile apps with a focus on strings, master control structures for mobile app development, and gain proficiency in the versatile programming language Python. You will also unlock the secrets of programming and unleash your creativity in this course.","Exploring Programming-Programming Mobile Apps with Control Structures","Exploring Programming-Programming Mobile Apps with Control Structure","Dive into mobile app development with control structures, learn to use if/else blocks, loops, manage app data, and explore databases.","en-us"
"cd11532","Data Science","Intermediate","","Data Pipelines with Azure","Data Pipelines with Azure","Data Pipelines with Azure","Data Pipelines with Azure","In this course, you’ll learn to build, orchestrate, automate and monitor data pipelines in Azure using Azure Data Factory and pipelines in Azure Synapse Analytics. You’ll build, trigger, and monitor data pipelines on the Azure platform for analytical workloads and run data transformations, optimize data flows, and work with data pipelines in production.","Azure Data Pipelines in Production","Gathering Data","In this lesson, you'll learn about features of Azure Data Factory and Synapse Analytics pipelines that you’ll use in production.","en-us"
"cs259","Programming and Development","","2 Months","Software Debugging","Software Debugging","Software Debugging","Software Debugging","","5. Reproducing Failures","5. Reproducing Failures","","en-us"
"nd000","Programming and Development","Beginner","4 Months","Introduction to Programming","Introduction to Programming","Introduction to Web Development","Intro to Web Development","Get acquainted with how the web works! Learn about your browser, the internet, and a filetype called HTML. HTML stands for ""Hypertext Markup Language."" HTML is the language used to create webpages. Learn the basics of HTML to create a simple web page!","Styling with CSS","Styling with CSS","Learn how to add style to your website by using Cascading Style Sheets (CSS).","en-us"
"ud201","Data Science","","2 Months","Intro to Inferential Statistics","Intro to Inferential Statistics","Intro to Inferential Statistics","Intro to Inferential Statistics","","Hypothesis Testing","Hypothesis Testing","","en-us"
"nd0067","Programming and Development","Intermediate","4 Months","Full Stack JavaScript Developer","Full Stack JavaScript Developer","Angular Fundamentals","Angular Fundamentals","","Libraries & Services","Libraries & Services","Create reusable services to contain an application's non-UI business logic. Extend your applications with the use of third-party libraries and other dependencies.","en-us"
"cd13411","Autonomous Systems","Beginner","","Embedded Systems Programming with C/C++","Embedded Systems Programming with C/C++","Embedded Systems Programming with C/C++","Embedded Systems Programming with C/C++","This Embedded Systems Programming course introduces students to the fundamentals of programming microcontrollers using C/C++. Key topics include Embedded C/C++ basics, bit manipulation for hardware control, and managing interrupts for real-time responsiveness. The course also covers essential code optimization techniques to ensure efficient, reliable software performance on resource-constrained devices. Ideal for those looking to build a strong foundation in embedded systems development.","Introduction to Embedded C/C++ Programming","Introduction to Embedded C/C++ Programming","Explore embedded systems focusing on memory types, data structures importance, OOP principles, and their integration into system design.","en-us"
"nd891","Artificial Intelligence","Advanced","3 Months","Computer Vision","Computer Vision","Object Tracking and Localization","Object Tracking Localization","Learn how to locate an object and track it over time. These techniques are used in a variety of moving systems, such as self-driving car navigation and drone flight.","Simultaneous Localization and Mapping","Simultaneous Localization and Mapping","Learn how to implement SLAM: simultaneously localize an autonomous vehicle and create a map of landmarks in an environment.
","en-us"
"ud245","Programming and Development","","2 Days","Intro to jQuery","Intro to jQuery","Intro to jQuery","Intro to jQuery","","The Basics: the DOM, $, and Selectors","The Basics: the DOM, $, and Selectors","Enter the exciting, interactive world of the DOM! Learn how to use JavaScript and jQuery to select and manipulate HTML elements on a page.","en-us"
"nd891","Artificial Intelligence","Advanced","3 Months","Computer Vision","Computer Vision","Review: Training A Neural Network","Review: Training A Neural Network","Review how neural networks turn an input into an output and how they monitor errors as they train. This section will also cover methods to avoid overfitting your data.","Feedforward and Backpropagation","Feedforward and Backpropagation","Short introduction to neural networks: how they train by doing a feedforward pass then performing backpropagation.","en-us"
