"program_key","primary_school","difficulty_level","duration","program_title","generic_program_title","part_title","generic_part_title","part_summary","lesson_title","generic_lesson_title","lesson_summary","locale"
"nd083","Business","Beginner","1 Months","Digital Freelancer","Digital Freelancer","Managing Freelancing Projects","Managing Freelancing Projects","This course will prepare you for managing freelancing projects, from sourcing clients through project completion and payment.","Creating a Process to Source Clients","Creating a Process to Source Clients","This lesson will help you source clients for your digital freelancing business, including using freelancing platforms and social media and sending expressions of interest.","en-us"
"nd064","Cloud Computing","Intermediate","4 Months","Cloud Native Application Architecture","Cloud Native Application Architecture","Cloud Native Fundamentals","Cloud Native Fundamentals","Throughout this course, students will learn how to structure, package, and release an application to a Kubernetes cluster, while using an automated CI/CD pipeline.","Container Orchestration with Kubernetes","Container Orchestration with Kubernetes","In this lesson, you will learn how to use Docker to create an image and how to deploy an application to Kubernetes.","en-us"
"cs271","Artificial Intelligence","Intermediate","4 Months","Intro to Artificial Intelligence","Intro to Artificial Intelligence","Intro to Artificial Intelligence","Intro to Artificial Intelligence","","Problem Set 4","Problem Set 4","","en-us"
"nd320","Artificial Intelligence","Advanced","4 Months","AI for Healthcare","AI for Healthcare","Applying AI to Wearable Device Data","Applying AI to Wearable Device Data","","Intro to Digital Sampling & Signal Processing","Intro to Digital Sampling & Signal Processing","A brief tour through sampling theory, signal processing, the Fourier transform, and other related topics. We’ll briefly cover some plotting and visualization techniques here as well.","en-us"
"cs291","Programming and Development","","2 Months","Interactive 3D Graphics","Interactive 3D Graphics","Interactive 3D Graphics","Interactive 3D Graphics","","Colors and Materials","Colors and Materials","","en-us"
"cd14197","Artificial Intelligence","Discovery","","Discovering Generative AI","Discovering Generative AI","Discovering Generative AI","Discovering Generative AI","Learners will discover the core concepts of Generative AI and how it works across a variety of fields. This course breaks down the often complex technology into digestible content, emphasizing real-world examples and non-technical applications. Learners will also explore the ethical considerations of using AI and gain insight into how they might use generative AI in their own work and lives.","Discovering Generative AI","Discovering Generative AI","Learners will discover the core concepts of Generative AI. Learners will also explore ethical considerations of using AI and gain insight into how they can use generative AI in their work and lives.","en-us"
"cd1821","Artificial Intelligence","Intermediate","","Convolutional Neural Networks","Convolutional Neural Networks","Convolutional Neural Networks","Convolutional Neural Networks","This course introduces Convolutional Neural Networks, the most widely used type of neural networks specialized in image processing. You will learn the main characteristics of CNNs that make them so useful for image processing, their inner workings, and how to build them from scratch to complete image classification tasks. You will learn what are the most successful CNN architectures, and what are their main characteristics. You will apply these architectures to custom datasets using transfer learning. You will also learn about autoencoders, a very important architecture at the basis of many modern CNNs, and how to use them for anomaly detection as well as image denoising. Finally, you will learn how to use CNNs for object detection and semantic segmentation.","CNN Concepts","CNN Concepts","In this lesson we will recap how to use a Multi-Layer Perceptron for image classification, understand the limitations of this approach, and learn how CNNs can overcome these limitations.","en-us"
"ud942","Business","","1 Hours","Managing a Remote Workforce","Managing a Remote Workforce","Managing a Remote Workforce","Managing a Remote Workforce","","Managing a Remote Workforce","Managing a Remote Workforce","This course, developed in partnership between Upwork and Udacity,  provides valuable insights for managers needing to build, manage, and lead remote teams for their organizations.","en-us"
"cd12744","Autonomous Systems","Beginner","","DC Motors & Encoders","DC Motors & Encoders","DC Motors & Encoders","DC Motors & Encoders","In this course, you will explore Embedded Systems, delving into direct current motors, encoders, reading rotary encoders, and mastering servo motors. You will also gain practical knowledge in controlling motors, understanding encoder feedback, interpreting rotary encoder signals, and effectively utilizing servo motors.","Servo Motors","Servo Motors","In this lesson you will learn all about servo motors, starting from the internals, checking the difference between DC and Servo motors, importance, overview on how to control them and applications.","en-us"
"nd003","Programming and Development","Intermediate","6 Months","iOS Development with SwiftUI and SwiftData","iOS Developer","iOS Application Data with SwiftData","iOS Application Data with SwiftData","In this course, you'll master data management and persistence in iOS 17+ using Swift, SwiftUI, and SwiftData. You will start with the basics of creating views and managing state with @State, @Binding, and @EnvironmentObject. As you progress, you'll learn to define data models and schemas, implement CRUD operations, and manage related data. Advanced topics include data migrations for managing data models. Through hands-on exercises and real-world examples, you'll build several data-driven iOS applications.","SwiftData Model Relationships","SwiftData Model Relationships","Explore SwiftData's model relationships, including one-to-one, one-to-many, and many-to-many relationships, and learn to create, query, and delete related data.","en-us"
"cd0692","Business","Beginner","","Social Media Marketing","Social Media Marketing","Social Media Marketing","Social Media Marketing","Social Media is a powerful channel for marketers.  In this course, you learn more about the main social media platforms, how to manage your social media presence, leveraging organic and paid to advertise, and creating effective content for each platform.","Introduction to Facebook-Meta Ads","Introduction to Facebook-Meta Ads","Facebook is a powerful social media platform with a massive audience worldwide. Gain hands on experience by setting up your Facebook advertising account and explore campaign objectives. 
","en-us"
"cd0354","Cloud Computing","Intermediate","","Monolith to Microservices at Scale","Monolith to Microservices at Scale","Monolith to Microservices at Scale","Monolith to Microservices at Scale","Microservices are becoming the default mode of developing and deploying applications at scale. Microservices architecture makes it easier to scale an application to a large system and is a great enabler for continuous integration and delivery. The microservices architecture allows independent scaling, independent releases and deployments, and independent development so that each service has its own codebase. In this course, we will cover the best practices on how to develop and deploy microservices. You will learn topics such as different microservice architecture patterns, independent scaling, resiliency, service replication, service registration, and discovery. By the end of this course, you should be able to design and build an application using a microservice architecture.","Best Practices/Design Patterns for Kubernetes in Production","Best Practices/Design Patterns for Kubernetes in Production","In this lesson we'll learn some of the best practices for running your application in Kubernetes including logging, scale, and security","en-us"
"nd0821","Artificial Intelligence","Advanced","4 Months","Machine Learning DevOps Engineer","Machine Learning DevOps Engineer","Congratulations!","Congratulations!","Congratulations on finishing your program!","Congratulations!","Congratulations!","Congratulations on your graduation from this program! Please join us in celebrating your accomplishments.","en-us"
"nd101","Artificial Intelligence","Intermediate","4 Months","Deep Learning","Deep Learning","Convolutional Neural Networks","Convolutional Neural Networks","This course introduces Convolutional Neural Networks, the most widely used type of neural networks specialized in image processing. You will learn the main characteristics of CNNs that make them so useful for image processing, their inner workings, and how to build them from scratch to complete image classification tasks. You will learn what are the most successful CNN architectures, and what are their main characteristics. You will apply these architectures to custom datasets using transfer learning. You will also learn about autoencoders, a very important architecture at the basis of many modern CNNs, and how to use them for anomaly detection as well as image denoising. Finally, you will learn how to use CNNs for object detection and semantic segmentation.","CNNs in Depth","CNNs in Depth","In this lesson we will study in depth the basic layers used in CNNs, build a CNN from scratch in PyTorch, use it to classify images, improve its performance, and export it for production.","en-us"
"cd0455","Data Science","Intermediate","","Implementing Privacy in Software Applications","Implementing Privacy in Software Applications","Implementing Privacy in Software Applications","Implementing Privacy in Software Applications","This  course is designed with two types of people in mind: 
1) Engineers who hadn't really delved into privacy engineering,
and 2) those who have only basic technical skills, but a strong interest in privacy engineering.  We learn how the basic principles that privacy engineers follow when evaluating and building software. We'll look at some common legal requirements that privacy engineers must reckon with in many parts of the world and how to implement those requirements for your application or platform. As we go over privacy engineering for compliance, we'll learn that an essential step is to first identify, then track or catalog sensitive data within our system. And finally, we will learn how to manage and protect data using data minimization.","Privacy Engineering Fundamentals","Privacy Engineering Fundamentals","We will learn how to think like an actual privacy engineer and understand the basic principles that privacy engineers follow when evaluating and building software.","en-us"
"nd089","Artificial Intelligence","Beginner","3 Months","AI Programming with Python","AI Programming with Python","Intro to Machine Learning","Intro to Machine Learning","","Support Vector Machines","Support Vector Machines","Learn about how support vector machines can be effective models for classification.","en-us"
"cd12590","Data Science","Fluency","","Data Modeling Fluency","Data Modeling Fluency","Data Modeling Fluency","Data Modeling Fluency","In this course, you’ll learn the fundamentals of relational and non-relational data models to fit the diverse needs of data consumers. You will also learn the basics of Big Data, which provides ways to work with massive data sets that are too large or complex to be handled by traditional data-processing application software.","Introduction to Data Modeling","Introduction to Data Modeling","In this lesson, you will learn the basic difference between relational and non-relational databases, and how each type of database fits the diverse needs of data consumers.","en-us"
"nd230","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with TensorFlow","Intro to Machine Learning with TensorFlow","Additional Material: Statistics for Data Analysis","Additional Material: Statistics for Data Analysis","","Regression","Regression","Use python to fit linear regression models, as well as understand how to interpret the results of linear models.","en-us"
"nd113","Autonomous Systems","Intermediate","4 Months","Introduction to Self-Driving Cars","Intro to Self-Driving Cars","Orientation","Orientation","Welcome to the Intro to Self-Driving Cars Nanodegree program! In this section you'll get a sneak peak of the classroom, meet the team, and learn about the services provided. Then you'll take a readiness assessment and check out some learning resources to help you make the most out of your experience.","Introduction","Introduction","Welcome to the Intro to Self-Driving Cars Nanodegree program! We are excited to have you and hope you are looking forward to learning about this game-changing field!","en-us"
"st095","Data Science","","4 Months","Statistics","Statistics","Statistics","Statistics","","Problem Set 14: Correlation","Problem Set 14: Correlation","","en-us"
"ud860","Programming and Development","","1 Months","Browser Rendering Optimization","Browser Rendering Optimization","Browser Rendering Optimization","Browser Rendering Optimization","","App Lifecycles","App Lifecycles","Learn about the four parts of a web app's lifecycle: RAIL (Response, Animate, Idle, and Load). You'll discover how these phases cause jank in your web apps.","en-us"
"nd113","Autonomous Systems","Intermediate","4 Months","Introduction to Self-Driving Cars","Intro to Self-Driving Cars","Navigating Data Structures","Navigating Data Structures","Algorithmic thinking is a skill you’ll refine throughout your career. In this course you’ll focus on frequently used data structures and algorithms.","Data Structures","Data Structures","The list isn't the only structure for storing data! In this lesson you'll learn about sets, dictionaries and other Python data structures.","en-us"
"nd064","Cloud Computing","Intermediate","4 Months","Cloud Native Application Architecture","Cloud Native Application Architecture","Message Passing","Message Passing","In this course, you will learn how to refactor microservice capabilities from a monolithic architecture and employ different forms of message passing in microservices. To begin, students will create a migration strategy to refactor a service from a monolith to its own microservice and implement the migration. Next, students will be introduced to industry standard best practices for message passing in a service architecture. Finally, students will focus on design decisions and the implementation of different forms of message passing in development and production systems.","Types of Message Passing","Types of Message Passing","Different forms of message passing are applied to solve different types of problems. In this lesson, we'll learn strategies for deciding which technology to use.","en-us"
"cd11573","Cloud Computing","Intermediate","","Multi-Cloud Computing","Multi-Cloud Computing","Multi-Cloud Computing","Multi-Cloud Computing","This course introduces learners to multi-cloud architectures and how to design and implement these architectures effectively. In this course, learners will learn how to define, design and deploy multi-cloud architectures. They’ll begin by learning the key components to understand and design a proper multi-cloud application. They will also learn the pros and cons of multi-cloud and important considerations when designing for them. Lastly, they will create a multi-cloud design and then deploy it to multiple providers.","Moving to the Cloud with Multi-Cloud","Moving to the Cloud with Multi-Cloud","In this lesson, we first look at defining our cloud strategy. After that, we look at considerations for moving to the cloud with multi-cloud. And finally, we look at provider comparisons.","en-us"
"cd5227","Programming and Development","Fluency","","Programming with Python Fluency","Introduction to Programming with Python Fluency","Programming with Python Fluency","Introduction to Programming with Python Fluency","Learn basic programming with Python, one of the most versatile and widely used programming languages! This course will introduce you to core programming concepts and fundamental Python syntax by writing code to make a virtual ""turtle"" robot draw colorful shapes on the screen. ","Introduction and Programming Basics","Introduction and Programming Basics","Get started learning core programming concepts with Python, while writing instructions to make a virtual ""turtle"" robot draw colorful shapes on the screen. ","en-us"
"nd104","Data Science","Beginner","3 Months","Programming for Data Science with Python","Programming for Data Science with Python","Welcome to the Program","Welcome to the Program","Welcome to the program! In this part, you will get an orientation into using our classroom and services. You’ll also get advice for making the best use of your time while enrolled in this program.","Get Help with Your Account","Get Help with Your Account","What to do if you have questions about your account or general questions about the program.","en-us"
"ud892","Programming and Development","","3 Weeks","Web Tooling & Automation","Web Tooling & Automation","Web Tooling & Automation","Web Tooling & Automation","","Awesome Optimizations","Awesome Optimizations","","en-us"
"cd12352","Cloud Computing","Intermediate","","Deploy Infrastructure as Code (IAC)","Deploy Infrastructure as Code (IAC)","Deploy Infrastructure as Code (IAC)","Deploy Infrastructure as Code (IAC)","With the advent of cloud computing, along came several tools that enabled us to deploy the underlying infrastructure components that provide security and services to our servers by writing scripts. In this course, you’ll learn how to deploy this infrastructure using CloudFormation,  AWS’ tool for Infrastructure as Code.  

You will use CloudFormation to deploy Infrastructure patterns that are used in the industry broadly and can be readily used to deploy any cloud application. Like in the real world, you will begin with initial business requirements that you will turn into Cloud Architecture Diagrams. Then you will deploy this architecture using CloudFormation.","Networking Infrastructure","Networking Infrastructure","Learn about various networking components that can be used in a VPC.","en-us"
"st101","Data Science","Beginner","2 Months","Intro to Statistics","Intro to Statistics","Intro to Statistics","Intro to Statistics","","27. Hypothesis Test 2","27. Hypothesis Test 2","","en-us"
"nd787","Autonomous Systems","Advanced","6 Months","Flying Car and Autonomous Flight Engineer","Flying Car and Autonomous Flight Engineer","[Optional] Fixed Wing","[Optional] Fixed Wing","While quadrotors are the ideal test platform for aerial robotics, flying cars and other long-range aircrafts leverage the aerodynamic efficiencies of fixed-wing flight. In this course, you will learn how to adapt the concepts you’ve learned so far and successfully fly a fixed-wing aircraft in simulation.","Optional Project: Fixed-Wing Control","Optional Project: Fixed-Wing Control","In this optional project you will control a simulated fixed-wing aircraft by implementing and tuning your own autopilot in Python.","en-us"
"nd073","Artificial Intelligence","Advanced","3 Months","AI Engineer using Microsoft Azure","AI Engineer using Microsoft Azure","Building Computer Vision Solutions with Azure","Building Computer Vision Solutions with Azure","This course is designed for anyone who would like to use computer vision technology in their application to solve a business problem. You will begin by learning what computer vision is and its business use cases through real-life business use cases. You will then learn to create solutions using different types of vision-based Azure Cognitive Services, including Azure Form Recognizer for text extraction, Azure Face and Video Analyzer for facial detection and recognition, and Azure Computer Vision and Custom Vision for image classification and object detection. Finally, you will learn and apply the deployment and monitoring tools to ensure that your solution is complete and runs smoothly.","Introduction to Building Computer Vision Solutions with Azure","Introduction to Building Computer Vision Solutions with Azure","In this lesson, you will learn why computer vision is important, among other foundational topics. You will get an overview of what we will cover in this course.","en-us"
"nd036","Product Management","Beginner","4 Months","Product Manager","Product Manager","Product Design","Product Design","Once the problem has been defined and a market opportunity has been identified, it is important to create a solution that is desirable by its users. Bring an idea through concept, design, and user validation, as well as creating a spec to hand-off to engineering for development. Use design thinking methodologies to diverge in order to explore ideas, and then ultimately focus in and converge on a single idea. Map out the full concept through the creation of a prototype that can be used to validate that you’re solving a problem for real users.","Run a Design Sprint","Project: Run a Design Sprint","For this course, you will be running a Design Sprint to further develop a concept to address an opportunity that you have identified.","en-us"
"cd0001","Cybersecurity","Beginner","","Cybersecurity Foundations","Cybersecurity Foundations","Cybersecurity Foundations","Cybersecurity Foundations","Security is embedded in all we do online and is a critical job skill and career field. This foundations course explains security fundamentals including core principles, critical security controls, and cybersecurity best practices. Students will also evaluate specific security techniques used to administer a system that meets industry standards and core controls, assess high-level risks, vulnerabilities, and attack vectors of a sample system, and explain ways to establish and maintain the security of different types of computer systems.","Securing a Business Network","Create a Plan to Secure a Business Network","In this project, you will apply the skills you have learned in this course to secure a business network.","en-us"
"ud892","Programming and Development","","3 Weeks","Web Tooling & Automation","Web Tooling & Automation","Web Tooling & Automation","Web Tooling & Automation","","Expressive Live Editing","Expressive Live Editing","Setup LiveReload to automatically reload your browser every time you make a change in your code.","en-us"
"nd891","Artificial Intelligence","Advanced","3 Months","Computer Vision","Computer Vision","Object Tracking and Localization","Object Tracking Localization","Learn how to locate an object and track it over time. These techniques are used in a variety of moving systems, such as self-driving car navigation and drone flight.","Introduction to Motion","Introduction to Motion","This lesson introduces a way to represent motion mathematically, outlines what you'll learn in this section, and introduces optical flow.","en-us"
"nd881","Artificial Intelligence","Advanced","","AI Trading Strategies","AI Trading Strategies","Evaluating Returns and Backtesting","Evaluating Returns and Backtesting","This course will advance learners' abilities to construct and backtest strategies. The curriculum emphasizes a deep understanding of key performance metrics—such as annualized returns, volatility, and various risk-adjusted ratios—to critically evaluate the effectiveness of trading strategies. Additionally, learners will enhance their skills in visualizing strategy performance through advanced graphical representations. By mastering the implementation and rigorous evaluation of trading models, students will be well-equipped to optimize strategies and ensure robust performance in the  world of capital markets.","Measuring Risk-Adjusted Returns","Measuring Risk-Adjusted Returns","Explore drawdowns, how to calculate them, and which ratios should be employed when developing a backtest strategy. Calculations include the Sharpe, Sortino, and Calmar Ratio.","en-us"
"nd118","Data Science","Beginner","3 Months","Programming for Data Science with R","Programming for Data Science with R","Introduction to SQL","Introduction to SQL","Learn SQL language fundamentals such as building basic queries and advanced functions like Window Functions, Subqueries and Common Table Expressions.","Basic SQL","DA103.1 Basic SQL","In this section, you will gain knowledge about SQL basics for working with a single table. You will learn the key commands to filter a table in many different ways.","en-us"
"cd0695","Business","Beginner","","Digital Advertising","Digital Advertising","Digital Advertising","Digital Advertising","This course is about effectively engaging audiences with digital advertising across websites, mobile apps, streaming videos and other types of digital content through programmatic technology, campaign planning frameworks, and the Google Ads self-serve campaign management platform. Consumers are increasingly spending more of their time online through a variety of connected devices. Advertisers can now promote their products or services through targeted display, video and audio ads in a way that is non-disruptive - and increasingly integrated into the digital experience for these customers.
","Programmatic Technology","Programmatic Technology","In this lesson on programmatic ad technology, we will explore how the use of automated technology enables advertisers to buy and measure digital ads delivered across publishers.","en-us"
"cd12531","Data Science","Intermediate","","Advanced Data Wrangling","Advanced Data Wrangling","Advanced Data Wrangling","Advanced Data Wrangling","Data wrangling is a set of processes for turning raw and messy data into a clean format to answer interesting questions from the data. In this course, you will learn the three phases of data wrangling: gathering, assessing, and cleaning data.","Assessing Data","Power BI Overview","You will learn to identify different data quality and structural issues and apply visual and programmatic assessments to catch them.","en-us"
"ud1110","Programming and Development","Beginner","5 Weeks","Introduction to Python Programming","Introduction to Python Programming","Introduction to Python Programming","Introduction to Python Programming","","Data Structures","Data Structures","Use data structures to order and group different data types together! Learn about the types of data structures in Python, along with more useful built-in functions and operators.","en-us"
"nd893","Artificial Intelligence","Advanced","3 Months","Deep Reinforcement Learning","Deep Reinforcement Learning","Introduction to Deep Reinforcement Learning","Introduction to Deep Reinforcement Learning","","Temporal-Difference Methods","Temporal-Difference Methods","Learn about how to apply temporal-difference methods such as SARSA, Q-Learning, and Expected SARSA to solve both episodic and continuing tasks.","en-us"
"nd608","Artificial Intelligence","Intermediate","","Generative AI","Generative AI","Large Language Models (LLMs) & Text Generation","Large Language Models (LLMs) & Text Generation","Dive deeper into how computers understand and create language, and learn how to build a custom chatbot using unsupervised machine learning, prompt engineering, and retrieval augmented generation. We'll start with a high-level overview of the types of LLMs, the differences between them, and how best to account for their strengths and weaknesses. Then we'll get into the internal details, including natural language processing (NLP) techniques like tokenization, as well as modern transformer architectures and attention mechanisms. Finally, we'll build a practical LLM application that combines an LLM with a custom dataset.","Project: Build Your Own Custom Chatbot","Project: Build Your Own Custom Chatbot","For this project, you will use everything you learned in this course to create a custom chatbot using a dataset of your choice.","en-us"
"nd081","Cloud Computing","Intermediate","4 Months","Cloud Developer using Microsoft Azure","Cloud Developer using Microsoft Azure","Azure Applications","Azure Applications","In this course, you will learn the basics of deploying an application to Azure. Understand the benefits and costs of cloud deployments, different types of service models, and how to navigate the Microsoft Azure platform. Distinguish two types of compute services in Azure, virtual machines and app services, when to use each, and how to deploy applications onto the related service. Connect two useful types of cloud storage to a cloud application: Azure SQL databases and blob containers. Differentiate between the different security options available in Azure, and how to implement Microsoft’s OAuth 2.0 capabilities with Azure Active Directory, along with useful monitoring and logging tools in the cloud.","Introduction to Microsoft Azure Development","Introduction to Microsoft Azure Development","Discover the basics of cloud development and Microsoft Azure, along with an introduction to further course topics.","en-us"
"nd230","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with TensorFlow","Intro to Machine Learning with TensorFlow","Supervised Learning","Supervised Learning","In this course, you'll learn about different types of supervised learning and how to use them to solve real-world problems.","Finding Donors Project","Finding Donors Project","You've covered a wide variety of methods for performing supervised learning -- now it's time to put those into action!","en-us"
"nd088","Product Management","Intermediate","2 Months","AI Product Manager","AI Product Manager","Leveraging Data with AI","Leveraging Data with AI","This course is for product managers who want to build AI products. It does not require any prior familiarity with AI. You'll start by learning how AI can be applied, the different types of AI, data needs for AI, and the AI product lifecycle. Then, you'll dive deeper into two types of AI that can leverage existing datasets: personalization and forecasting. You'll learn some technical details about how these models work and how to evaluate them, and practice what you've learned with hands-on exercises. Finally, you'll pull this all together into a project where you'll develop a PRD for an AI-enabled gift recommendation system in an e-commerce setting.","Using AI and Machine Learning in Business","Using AI and Machine Learning in Business","Discover how AI and ML technologies can revolutionize business processes, from automating tasks to enabling smarter decision-making and innovation for a competitive edge.","en-us"
"nd113","Autonomous Systems","Intermediate","4 Months","Introduction to Self-Driving Cars","Intro to Self-Driving Cars","Working with Matrices","Working with Matrices","This course will focus on two tools which are vital to self-driving car engineers: object oriented programming and linear algebra.","Introduction to Kalman Filters","Introduction to Kalman Filters","Learn the intuition behind the Kalman Filter, a vehicle tracking algorithm and implement a one-dimensional tracker of your own.","en-us"
"cd12755","Business","Beginner","","Elements of Design","DECI Level 3 Digital Arts Term 1 Month 1","Elements of Design","DECI Level 3 Digital Arts Term 1 Month 1","Digital art and graphic design shape our visual environment using vector graphics and design principles. Through software like Canva, we'll explore 2D shapes, format, layout, and design tools, creating a Mondrian-inspired composition. We'll delve into color theory, RGB, Hex codes, and the color wheel and create custom color themes using Adobe Color. Additionally, we'll examine the historical impact of the printing press, typography, type classifications, anatomy, and the process of choosing typefaces in design and digital arts.","Introduction to Type","Introduction to Type","We will explore the history of the printing press & typography and the influence that is still felt today. We'll cover type classifications, anatomy, & how to choose type in design and digital arts.","en-us"
"ud607","Programming and Development","","3 Months","How to Make an iOS App","How to Make an iOS App","How to Make an iOS App","How to Make an iOS App","","Build","Build","Choose an idea to pursue and build it! We'll share tips for getting started, dealing with code that doesn't work, and how to submit to the App Store.","en-us"
"cs271","Artificial Intelligence","Intermediate","4 Months","Intro to Artificial Intelligence","Intro to Artificial Intelligence","Intro to Artificial Intelligence","Intro to Artificial Intelligence","","Problem Set 3","Problem Set 3","","en-us"
"cd0358","Cloud Computing","Advanced","","Cost Optimization and Monitoring","Cost Optimization and Monitoring","Cost Optimization and Monitoring","Cost Optimization and Monitoring","In this course, you will go over the best practices for understanding how cost management is an important aspect of a well architected framework. For each lesson, you will learn the fundamental concepts, how experts think about the topic, and then deep dive into the Azure offerings.
Throughout the course, you will deep dive into how to design for a cloud optimized architecture instead of trying to apply the traditional on-premises architecture principles, how monitoring for cloud efficiency helps an organization bring transparency and visibility into cloud costs, and how to leverage automation of infrastructure autoscale as well as Azure available API’s for cost analysis to ensure cost transparency and savings.","Intro to Cost Optimization and Monitoring","Intro to Cost Optimization and Monitoring","In this lesson, you will learn about provisioning for cost optimization and monitoring and get a solid foundation to set you up for success in this course.","en-us"
"ud893","Programming and Development","","2 Weeks","Responsive Web Design Fundamentals","Responsive Web Design Fundamentals","Responsive Web Design Fundamentals","Responsive Web Design Fundamentals","","Building Up","Building Up","Learn the most important tools in developing any responsive web application: media queries and flexbox.","en-us"
"nd083","Business","Beginner","1 Months","Digital Freelancer","Digital Freelancer","Freelancing 101 and Preparing to Market Yourself","Freelancing 101 and Preparing to Market Yourself","This course steps you through the basics of digital freelancing and what you need to know to be a successful freelancer, including how and where to market yourself and your skills and set yourself apart.","Introduction to Freelancing 101 and Preparing to Market Yourself","Introduction to Freelancing 101 and Preparing to Market Yourself","Dive into your Freelancing Journey by learning about when digital freelancing became popular, the stakeholders in your freelancing business, and when digital freelancing could be beneficial for you!","en-us"
"ud940","Programming and Development","","2 Months","Advanced Android with Kotlin","Advanced Android with Kotlin","Advanced Android with Kotlin","Advanced Android with Kotlin","","2.3 Clipping Canvas Objects","2.3 Clipping Canvas Objects","Learn how to clip canvas objects.","en-us"
"st095","Data Science","","4 Months","Statistics","Statistics","Statistics","Statistics","","Orientation!","Orientation!","","en-us"
"ph100","Autonomous Systems","","2 Months","Intro to Physics","Intro to Physics","Intro to Physics","Intro to Physics","","Problem Set 4","Problem Set 4","","en-us"
"cd12641","Data Science","Intermediate","","Linear and Logistic Regression","Algorithms","Linear and Logistic Regression","Algorithms","The linear and logistic regression course offers a detailed introduction to fundamental statistical and machine learning algorithms, particularly focusing on regression techniques. The course begins with simple linear regression and progresses to multiple linear regression, equipping students with the ability to analyze relationships between multiple variables. Finally, it covers logistic regression, a powerful tool for classification problems.","Introduction","Introduction","In this lesson, we kick off the course with an introduction to machine learning and why linear regression is such an important algorithm.","en-us"
"nd089","Artificial Intelligence","Beginner","3 Months","AI Programming with Python","AI Programming with Python","Introduction to AI Programming","Introduction to AI Programming","Welcome to the AI programming with python Nanodegree Program!
Come and explore the beautiful world of AI.","Welcome to AI Programming with Python","Welcome to AI Programming with Python","Welcome to the AI Programming with Python Nanodegree program!","en-us"
"cd0282","Programming and Development","Intermediate","","Java Fundamentals","Java Fundamentals","Java Fundamentals","Java Fundamentals","In order to be a great Java developer you must first learn the fundamentals of Java. This course introduces the fundamental concepts and practices of Java programming. These include basic Object-oriented Programming (OOP) concepts such as classes, encapsulation and inheritance, as well as core Java concepts such as collections, exceptions and commonly used Java types.","Object-Oriented Programming","Object-Oriented Programming","In this lesson, we'll go deeper into objects and classes and learn about some of the advanced concepts of object-oriented programming, including inheritance and polymorphism.","en-us"
"nd898","Artificial Intelligence","Advanced","3 Months","Artificial Intelligence","Artificial Intelligence","Optimization Problems","(Optional) Optimization Problems","Learn about iterative improvement optimization problems and classical algorithms emphasizing gradient-free methods for solving them. These techniques can often be used on intractable problems to find solutions that are ""good enough"" for practical purposes, and have been used extensively in fields like Operations Research & logistics. Finish the lessons by completing a classroom exercise comparing the different algorithms' performance on a variety of problems.","Additional Optimization Topics","Additional Optimization Topics","Review similarities of the techniques introduced in this lesson with links to readings on advanced optimization topics, then complete an optimization exercise in the classroom.","en-us"
"nd9991","Cloud Computing","Intermediate","4 Months","Cloud DevOps Engineer","Cloud DevOps Engineer","Build CI/CD Pipelines, Monitoring, and Logging","Build CI/CD Pipelines, Monitoring, and Logging","In this course, you will learn how to stretch for Continuous Delivery as your “true north” while you build CI/CD systems that automate the “stuff” between developers and the cloud. You’ll gain essential knowledge and put it into practice as you learn about Continuous Integration and Continuous Deployment. You’ll combine your existing knowledge of Cloud Formation and AWS with new tools like GitHub Actions.","Continuous Integration and Continuous Deployment","Continuous Integration and Continuous Deployment","In this lesson, we'll cover the fundamentals of CI/CD. Talk about the benefits, best practices, and look at the building blocks of pipelines!","en-us"
"nd256","Programming and Development","Intermediate","4 Months","Data Structures and Algorithms","Data Structures and Algorithms","Introduction to Python Programming","Introduction to Python Programming","Review fundamental Python programming syntax and concepts.","Advanced Topics","Advanced Topics","In this lesson we cover some advanced topics of iterators and generators. You are not required to complete this but we have provided these to give you a taste of these.","en-us"
"nd043","Business","Beginner","1 Months","Digital Project Management","Digital Project Management","Digital Project Management","Digital Project Management","Dive deeper into the five stages of the digital project management lifecycle: Initiation, Planning, Execution, Monitor & Control, and Closure. Start by understanding how two common methodologies, Waterfall and Agile, relate to and differ from each other. Then, move on to setting a project scope and identifying key stakeholders, creating a project plan, analyzing risks and engaging stakeholders during project execution, creating target goals and measuring a project's performance, evaluating the project outcome, and sharing knowledge at the end. In each stage, you will use the tools and templates a digital project manager typically uses in order to build a solid project.","Getting Things Done","Getting Things Done","This lesson covers the third of five key stages in the digital project management lifecycle - Execution. It involves analyzing risks and engaging stakeholders with effective communication.","en-us"
"cd1737","Business","Beginner","","Digital Project Management","Digital Project Management","Digital Project Management","Digital Project Management","Dive deeper into the five stages of the digital project management lifecycle: Initiation, Planning, Execution, Monitor & Control, and Closure. Start by understanding how two common methodologies, Waterfall and Agile, relate to and differ from each other. Then, move on to setting a project scope and identifying key stakeholders, creating a project plan, analyzing risks and engaging stakeholders during project execution, creating target goals and measuring a project's performance, evaluating the project outcome, and sharing knowledge at the end. In each stage, you will use the tools and templates a digital project manager typically uses in order to build a solid project.","Building Realistic Plans","Building Realistic Plans","This lesson covers the second of five key stages in the digital project management lifecycle - Planning. It involves analyzing if a project is worth investing in and then creating a project plan.","en-us"
